financial,follow_cnt,followers_cnt,gender,status_cnt,verified_reason
False,466,13110367,f,3428,台湾/演员/陳/妍/希
False,345,2910157,f,1508,演员/海陆////新/还珠格格/格格///饰演/夏/紫薇
False,198,312702,m,698,马来/马来西亚/西亚/歌手/林宇中
False,633,2685512,f,3075,演员/王/琳
False,464,284532,m,9777,男演员/演员/任程伟
False,444,9643899,m,98521,美食/美食家///专栏/专栏作家/作家///电视/电视节/电视节目/节目/节目主持/主持/主持人///微博/签约/自媒体/媒体
False,624,4481409,m,6690,嘻哈/蓝调/创作/歌手///湖南/湖南卫视/卫视/主持/主持人
False,18,995352,m,156,韩国/知名/名歌/名歌手/歌手///演员///音乐/音乐人/安/七/炫
False,727,1220161,m,2065,創/作/流行/流行歌/歌手///音/樂/製/作人///品冠
False,631,2148876,f,3145,歌手
False,138,777063,m,1071,香港/知名/知名演员/名演员/演员
False,28,16274,m,1284,日本/音乐/制作/制作人/作人//GARNiDELiA/组合/组合成/合成/成员/Toku/p
False,560,11133763,m,7709,知名/名主/主持/主持人/韩乔生
False,647,4413089,f,2899,知名/知名演员/名演员/演员
False,33,5624282,f,6661,好莱坞/名媛/帕丽斯/丽斯///希尔/希尔顿/尔顿///身兼/演员///歌手///模特/特等/多/职
False,152,54604,m,919,台湾/男演员/演员
False,373,34848121,f,5705,香港/知名/影星
False,3,219891,m,141,韩国/演员/吕/珍/九
False,217,438930,f,3594,日本/虚拟/偶像/歌手///初/音/未来///官方/微博
False,589,1273772,f,1047,台湾/艺人///主持/主持人///新闻/主/播/寇/乃/馨////北京/卫视///我/是/演说/演说家///选手
False,357,13117839,f,5353,香港/演员///歌手
False,271,14081949,f,2062,演员///代表/代表作///爱情/公寓//
False,894,9670533,f,7555,著名/名主/主持/主持人///演员/朱/丹
False,373,17016083,f,2897,演员///作品/有///北京/爱情/爱情故事/故事////新/拿/什么/拯救/你/我/的/爱人////给/我/一支/烟//
False,61,2535404,m,1035,泰国/August/band/乐队/主唱////暹罗/之恋///男主角/主角/MEW/扮演/扮演者/Pchy
False,58,57098331,m,2417,知名/名歌/名歌手/歌手/导演/演演/演员/王力宏
False,32,117248,m,2718,一/综/文化/旗下/艺人///郭/晋东
False,84,1885271,m,655,台湾/著名/著名演员/名演员/演员///代表/代表作///京华/烟云/////河东/河东狮/河东狮吼/狮吼/2//等
False,288,1088423,m,2254,歌手
False,344,1165118,f,1808,演员///作品///错爱/一生////仙剑/仙剑奇/奇侠传/3///步步/惊心///等
False,58,130800,f,800,演员/潘迎紫///代表/代表作///一代/女皇////一代/皇后/大玉儿////神雕侠侣/侠侣///等
False,371,3291174,f,2254,香港/香港艺人/艺人
False,517,456647,m,2886,歌手
False,158,37591499,m,2201,艺人/李/易/峰
False,107,520481,f,1257,台湾/台湾歌手/歌手
False,388,25244,f,636,歌手/潘越云
False,52,977481,f,2553,马来/马来西亚/西亚/歌手///演员
False,212,1506577,f,1163,台湾/台湾歌手/歌手///演员
False,221,19634208,f,1603,著名/名歌/名歌手/歌手
False,144,5614733,m,3153,央视/主持/主持人
False,371,257316,m,1464,台湾/民谣/之父/胡/德/夫
False,161,3299980,f,1541,演员///出演///孔雀/////七/剑/////门徒///等
False,835,1459247,m,5176,香港/歌手///演员
False,547,36714,f,5227,香港/唱/作/歌手///港台///警/訊///主持/主持人////代表/代表作/代表作品/作品///他/約/我/去/迪士尼
False,573,1344478,f,2532,台湾/女影星/影星
False,522,81515442,m,5202,著名/男演员/演员///代表/代表作///龙门/飞/甲////画皮///等///行走/的/力量/发起/发起者
False,115,1138963,f,1451,演员/陈德容
False,2029,52395,m,9015,影视/歌舞/演员///综艺/制作/制作人/作人//ICI/株式会社/会社/CEO//黄/实
False,246,5614146,m,4465,本名/名章/金/莱///中国/国电/电视/电视剧/制作/中心/演员///代表/代表作///西游/西游记/游记/////猴/娃/////连城/连城诀///等
False,87,1085411,m,3042,中国/易经/协会/协会会员/会会/会员///西南/交通/大学/大学网/网络/学院/客座/客座教授/教授///微博/签约/自媒体/媒体
False,559,3404756,m,2005,主持/主持人///专栏/专栏作家/作家///歌手
False,2,188927,f,56,西班牙/知名/影星/埃/尔/纱///帕/塔/奇///曾/出演///速度/与/激情/5//等/多部/影片
False,6,1199826,m,2483,美国/偶像/亚军///词曲/词曲创作/创作/型/歌手///第/53/届/格莱美/提名/最佳/流行/男歌手/歌手
False,575,777341,f,4497,//美丽/俏佳人/佳人///主持/主持人
False,79,8922658,m,1068,香港/著名/著名演员/名演员/演员///第/26/届/香港/香港电影/电影/金像/金像奖/新/晋/导演/导演奖//
False,444,717407,f,1685,艺人//2008/年/凭/电影///樱桃///获/第/17/届/上海/影评/影评人/奖
False,399,810318,m,5795,台/灣/歌手///主持/主持人////减/出/我/人生///教/練////超/級/减肥/王///教/練
False,867,2354276,m,4346,摇滚/师///艺术/艺术家/术家///音乐/视频/自媒体/媒体
False,453,344239,f,5300,艺人///香港/小姐/冠军
False,398,3866314,m,1281,演员/张/译///代表/代表作///士兵/突击////辣/妈/正传///电影///亲爱/的///等
False,8,1735220,m,1110,香港/演员/陈浩民
False,323,1240822,f,8593,香港/香港艺人/艺人
False,13,101219,m,374,韩国/七/人/男子/男子组/组合///歌曲/作品/有//Insane//Imagine/
False,80,17599,f,3165,香港/配音/配音演员/演员/谭/美/琼
False,203,75374,m,2987,著名/男高音/高音/歌唱/歌唱家/范/竞/马
False,0,26932626,m,2109,演员///歌手/陈冠希
False,329,2487527,f,5315,香港/tvb/知名/名花/花旦
False,11,543287,f,774,韩国/女歌手/歌手///演员///代表/代表作//Cry/Eye///泪流///等
False,254,5515868,f,4474,演员///白玉/白玉兰/玉兰/奖///华/鼎/奖/双料/视/后
False,0,995200,m,156,英国/国歌/歌手/James/Blunt
False,52,247695,f,955,歌手
False,101,3798164,f,1822,台湾/知名/女演员/演员/张/庭
False,328,5732330,f,3849,内地/女艺人/艺人
False,1910,557385,m,2270,香港/导演/陈/德/森
False,338,1768862,f,277,著名/舞蹈/舞蹈家/杨丽萍////以///孔雀/孔雀舞///闻名///代表/代表作/代表作品/作品///雀/之/灵//
False,128,3743976,f,3697,著名/名导/导演///实景/演出///印象/刘三姐/印象/丽江/印象/西湖////又/见/平遥/等
False,653,1162361,m,1469,央视/主持/主持人///任/鲁/豫
False,408,3651303,m,1673,新生/新生代/歌手/刘/心
False,444,527269,m,1843,FIR/飞/儿/乐团///阿/沁
False,629,4228163,m,2204,台湾/影视/演员///模特
False,553,25957848,m,4795,演员///作品///翻滚/吧///阿/信/////湄公河/行动/////听说///等
False,268,27781636,m,4419,湖南/湖南卫视/卫视/主持/主持人
False,585,1194902,m,1940,香港/演员/任达华
False,273,10106781,m,2814,香港/歌手///演员
False,202,113762,m,892,郭/政/鸿///香港/演员
False,595,31409099,m,1881,演员///代表/代表作///疯狂/的/石头/////斗牛////获得/第/46/届/金马/金马奖/最佳/男演员/演员/奖//
False,122,4073211,m,392,知名/名歌/名歌手/歌手/手信
False,34,664653,m,2535,好莱坞/知名/知名演员/名演员/演员/道/恩///强/森///巨石/强/森////主演///木乃伊/2////蝎子/蝎子王/////地心/历险/历险记/2//等
False,1088,15256456,m,4555,台湾/台湾歌手/歌手
False,768,39796384,f,2427,演员///电视/电视剧///奋斗///中/饰演/米莱
False,299,517304,m,1794,香港/香港艺人/艺人///演员
False,584,5874904,f,3134,光线/传媒/当家/女主播
False,437,295755,m,7549,香港/演员/曹/永/廉
False,472,4965600,f,4217,知名/名歌/名歌手/歌手///代表/歌曲///独角/独角戏////泪/海////日光/光机/机场////如果/云/知道///等
False,134,856068,f,1723,唱/作人///代表/代表作///正常/正常人/常人////可能////你/看到/的/我/是/蓝色/的//
False,312,26424452,m,1181,知名/台湾/演员/明道
False,123,20319303,m,1552,五月/五月天/天乐/乐队/主唱/阿/信
False,253,50116311,m,5097,歌手///演/員///主持//STAGE/品牌/主理/人
False,176,1778737,m,2187,台湾/饶舌/饶舌歌/歌手
False,924,4387350,m,1889,演员///歌手/林依轮
False,322,10749838,f,2252,台湾/台湾电视/电视/电影/电影演员/演员
False,937,1611244,m,1409,知名/知名演员/名演员/演员/张国强/国强
False,460,830350,f,3175,台湾/主持/主持人///歌手
False,674,174888,m,1715,台湾/综艺/综艺节目/节目/节目主持/主持/主持人
False,116,25657816,m,406,歌手///演员///张/艺/兴
False,409,241783,m,2292,阿/福///何/景/揚////蘇/打/綠/樂/團/團/長
False,686,85910832,m,8014,湖南/湖南卫视/卫视/知名/名主/主持/主持人
False,80,133985,m,1673,著名/日本/音乐/音乐人///传奇/乐队/X/JAPAN/队长
False,133,588912,m,974,知名/知名演员/名演员/演员///香港/影帝/郑则仕
False,542,945815,m,5084,歌手///演员
False,529,2967650,m,1874,媒体/人
False,859,2585015,m,4469,演员///歌手///原/至上/励/合成/成员
False,69,17466630,f,2378,日本/女星////电影/电影演员/演员////歌手
False,526,7601894,f,3595,台湾/主持/主持人///歌手///演员/柳/翰/雅
False,560,35413335,m,3893,华谊/兄弟/旗下/艺人///上海/话剧/剧艺/艺术/中心/演员
False,303,18127933,f,1631,演员
False,168,7202314,f,1437,演员////日照/重庆////激战////远/得/要命/的/爱情////奇葩/一家/一家亲//
False,598,229407,f,4375,台湾/知名/艺人
False,699,32666559,m,926,原创/歌手
False,423,10943921,m,3742,台湾/知名/名歌/名歌手/歌手
False,177,67167862,m,3890,知名/台湾/演员///歌手
False,462,2861213,f,3965,新一代/一代/代演/演技/演技派/女星///作品///步步/惊心////灵/珠////命运/交响/交响曲///等
False,126,11130101,f,1481,台湾/台湾歌手/歌手/张惠妹
False,417,57188279,m,4187,演员///代表/代表作////最美/美的/时光////家产////拿/什么/拯救/你/我/的/爱人//
False,215,2044157,f,1721,凤凰/传奇/组合/玲/花
False,365,544455,m,7223,民谣/民谣歌手/歌手///诗人
False,204,25755281,m,1689,著名/著名演员/名演员/演员///代表/代表作///永不/瞑目////人民/的/名义////三国////假如/生活/欺骗/了/你////长大///等
False,453,17470304,f,2796,香港/知名/知名演员/名演员/演员
False,722,525482,f,3026,2001/年度/香港/小姐/冠/軍//TVB/知名/艺人
False,765,5849175,m,2040,香港/演员
False,35,313345,m,723,情歌/歌王/王子///代表/代表作///找/一个/字/代替/////九/佰/九/拾/九朵/朵玫瑰/玫瑰/////千纸鹤/纸鹤///等
False,463,57965044,f,4462,演员
False,244,16435101,f,651,台湾/女艺人/艺人
False,257,14713181,m,741,歌手
False,9,285858,f,647,韩国/当红/红女/女星///作品/有/韩剧///我/的/名字/叫/金三顺////女人/香///等
False,210,459717,m,2048,香港/歌手
False,404,2695153,m,2136,飛/輪/海/團/員/辰/亦/儒
False,795,1743714,f,2471,内地/歌手/黄绮珊
False,268,2209808,m,1215,著名/著名演员/名演员/演员///作品///忠烈/杨家/杨家将////李/卫/辞官////水/月/洞天///等
False,183,43456643,m,1893,歌手
False,459,2051221,m,2611,内地/组合/至上/励/合成/成员/张/远
False,610,1571301,m,6479,TVB/演员/梁/烈/唯
False,106,16021,f,656,台湾/艺人
False,267,8910451,m,3877,歌手/曹/格
False,118,1776846,m,1077,影视/演员/张智尧///作品///倚天/天屠龙/屠龙/屠龙记/////简单/爱/////楚留香/留香/新传///等
False,924,5994406,f,2478,摇滚/歌者///演员///代表/代表作///谭/某某////3////秘密/花园///
False,101,2151575,f,437,香港/知名/知名演员/名演员/演员
False,74,3101831,f,638,韩国/演员/秋/瓷/炫
False,164,374642,m,2830,UNLEASH//创办/创办人
False,437,5879274,m,1783,演员///歌手///中戏/表演/表演系///作品///新/还珠格格/格格////隋唐/英雄//
False,2017,204458,m,1761,导演///演员
False,17,2391639,m,2145,韩国/当红/红花/花美男/偶像/团体
False,772,109018,f,4029,歌手///主持/主持人///杨/梓/文/祺
False,627,23057299,m,3048,香港/英皇/艺人/陈/伟/霆
False,311,22934477,m,1323,中央/中央戏剧/中央戏剧学院/戏剧/戏剧学院/学院///表演/表演系/音乐/音乐剧/班///学生
