word,word_cnt
著名,236
音乐,70
音乐人,26
演员,491
还珠格格,7
格格,7
饰演,21
电视,106
导演,69
马来,6
马来西亚,6
西亚,9
歌手,316
湖南卫视,7
卫视,18
主持,129
主持人,126
男演员,28
美食,13
专栏,17
专栏作家,14
作家,172
电视节,3
电视节目,3
节目,19
节目主持,13
微博,345
签约,163
自媒体,162
媒体,227
香港,216
校长,9
创作,18
韩国,139
知名,292
名歌,50
名歌手,47
SHE,3
组合,84
组合成,11
合成,16
成员,89
流行,15
流行歌,4
作人,33
电视剧,28
青春,13
知名演员,46
名演员,74
日本,51
制作,21
制作人,19
GARNiDELiA,3
阳光,8
集团,149
董事,239
董事局,16
局主席,15
主席,89
名主,17
好莱坞,13
希尔,3
尔顿,3
模特,9
影星,18
中国,404
声音,5
选手,17
偶像,16
未来,9
官方,186
艺人,105
新闻,49
国歌,13
出演,35
人生,4
美丽,9
韩剧,14
代表,194
代表作,147
爱情,17
公寓,4
作品,89
爱情故事,3
故事,8
爱人,4
泰国,7
乐队,25
主唱,11
主角,9
扮演,10
扮演者,8
广告,22
明星,27
文化,129
旗下,12
著名演员,28
京华,4
烟云,3
河东,3
男歌手,7
发行,3
专辑,11
仙剑,5
仙剑奇,4
奇侠传,4
步步,5
惊心,5
一代,5
香港艺人,17
台湾歌手,28
话剧,8
剧艺,3
艺术,44
中心,71
国家,103
国家一级,11
一级,13
编剧,24
制片,20
制片人,19
央视,16
Super,8
Junior,8
之父,4
孔雀,3
代表作品,18
龙门,3
发起,10
影视,43
综艺,9
CEO,126
本名,3
国电,3
西游,3
协会,79
协会会员,7
会会,27
会员,13
西南,5
交通,5
大学,114
网络,104
学院,85
教授,71
天龙,4
天龙八部,4
八部,4
西班牙,5
东京,3
征服,3
风声,4
美国,56
亚军,16
词曲,3
格莱美,4
提名,4
最佳,24
歌唱,8
歌唱家,8
公益,24
项目,16
发起人,8
香港电影,3
电影,51
金像,8
金像奖,8
导演奖,3
2008,7
影评,3
影评人,3
名导,12
摇滚,15
艺术家,12
术家,17
视频,41
小姐,9
冠军,142
女演员,24
男子,44
男子组,20
歌曲,8
金马,9
金马奖,9
初恋,3
风暴,3
天空,3
台北,4
高音,4
tvb,3
女歌手,21
公司,1006
英国,34
评论,53
评论员,36
华裔,9
笑星,3
内地,19
女艺人,4
记者,84
舞蹈,3
舞蹈家,3
演出,5
印象,3
新生,6
新生代,6
电视台,60
篮球,28
解说,29
解说员,21
乐团,13
阿里,10
娱乐,18
战略,6
委员,64
委员会,28
会主,14
馆长,5
46,3
主演,17
媒介,4
奋斗,4
新加坡,3
光线,5
传媒,97
当家,3
女主播,7
机场,3
蓝色,3
青年,25
世界,79
五月,5
五月天,5
天乐,4
品牌,37
主理,3
电影演员,4
国强,3
TVB,17
综艺节目,5
偶像剧,3
传奇,11
队长,21
影帝,3
作曲,8
作曲家,7
华人,3
至上,5
当红,11
红女,7
女星,18
华谊,5
兄弟,8
奇葩,3
原创,8
老板,6
凤凰,7
诗人,18
影人,3
南京,24
京南,3
生活,12
年度,8
畅销,9
王子,4
玫瑰,3
特别,4
女人,3
2012,7
2010,7
快乐,6
全国,61
第六,4
飞狐,3
新传,5
秘密,6
花园,5
时代,25
唐朝,3
浪漫,7
英雄,5
创办,13
创办人,13
表演,4
团体,8
英皇,5
中央,39
中央戏剧,3
中央戏剧学院,3
戏剧,8
戏剧学院,4
学生,12
城市,19
杉杉,3
CCTV,7
体育,122
复仇,3
复仇者,3
仇者,3
联盟,15
联合,54
联合国,19
和平,3
大使,16
国际,92
钢琴,5
钢琴家,4
琴家,4
星光,4
演艺,5
经纪,18
有限,920
有限公司,884
金枝,3
后宫,4
创始,145
创始人,136
2009,3
女声,3
总冠军,3
孝庄,4
秘史,5
十二,9
仁心,3
武林,3
大唐,3
拍摄,3
女王,7
首位,4
零点,3
研究,87
咨询,62
董事长,187
理事,30
理事长,14
独立,4
中央电视台,17
绿色,5
计划,7
剧院,11
中华,18
全国青联,3
青联,5
明天,3
爱心,11
基金,41
春天,6
运动,82
运动员,77
动员,77
红楼,7
红楼梦,6
俄罗斯,5
罗斯,7
热播,3
闯关,3
闯关东,3
关东,3
岁月,3
童星,3
小小,3
二十,5
创意,8
吉他,4
团团,5
团团长,5
团长,6
人气,36
员林,6
车手,14
妇女,4
亲善,3
亲善大使,3
话剧院,3
院长,35
少女,9
吉他手,3
第一,26
天下,15
文化传媒,43
新浪,21
女主角,7
艺术剧院,5
我爱你,4
国人,48
BigBang,3
胜利,3
摇滚歌手,4
男配角,3
配角,3
女子,64
女孩,3
光大,4
大道,3
多张,3
东方,26
创投,4
金创,6
体操,31
奥运,69
奥运冠军,14
裁判,3
二人,3
网球,10
星空,5
尔斯,5
哥伦比亚,3
伦比,3
比亚,6
威尼,3
威尼斯,3
尼斯,3
电影节,4
洛杉矶,7
摇滚乐,5
摄影,33
摄影师,20
音乐学,5
音乐学院,5
教师,20
心灵,4
全能,7
少年,10
政协,29
常委,16
巨匠,3
第十,9
八届,4
百姓,3
女子组,17
恋人,4
北京电视台,6
副总,115
副总编,8
总编,38
总编辑,27
编辑,43
神话,3
创作者,3
作者,228
日记,3
少女时代,3
达人,31
徐海,3
海星,4
系列,10
孤儿,3
TFBOYS,3
EXO,4
观察,7
今日,6
栏目,14
大学生,4
杂志,40
绯闻,3
Girl,3
超人,6
超人气,6
90,3
满屋,3
国音,6
评委,4
爸爸,3
无限,4
数字,3
美籍,4
学校,9
2013,3
名作,22
英语,3
频道,35
完美,3
广播,23
无线,7
专家,52
名词,3
国内,3
Park,3
包括,3
工作,31
工作者,6
结婚,4
奖得主,6
得主,17
三届,3
演奏,5
演奏家,4
白金,3
法国,6
里奥,3
贝克,3
克尔,5
天使,12
文艺,9
人士,7
名人,6
活动,4
策划,23
投资,88
投资人,9
喜剧,4
2PM,5
瑞典,4
汤姆,3
公主,4
培训,6
四大,3
第八,4
第八届,3
唱片,4
电台,11
DJ,4
太阳,7
魔术,3
加拿,8
加拿大,8
梅兰,3
梅兰芳,3
二级,4
股份,54
股份有限,53
检察,3
宝玉,3
花样,19
NULL,98231
文章,196
遗产,3
波多,3
游戏,8
男星,3
AKB48,9
比利,3
新娘,4
公务,6
公务员,5
足球,146
亚洲,11
音乐家,3
说唱,4
唱歌,5
德里,7
人文,7
菲尔,3
哈利,3
波特,4
双胞,4
双胞胎,4
胞胎,4
五星,8
丹尼,4
尼尔,5
幸福,8
黄金,3
帝国,4
利亚,12
乐天,3
迈克,4
迈克尔,3
时尚,35
中文,16
空间,4
云图,3
罗拉,3
内蒙,11
蒙古,12
艺术总监,4
总监,102
剧作,3
剧作家,3
总导演,3
广播电视,8
教育,59
美少女,3
大卫,4
摄影家,3
风云,3
II,3
Wonder,4
Girls,4
Nobody,4
队员,99
雅典,8
市政,6
葡萄,3
意大利,10
大利,17
古典,3
获得者,5
比尔,4
电子,57
芝加哥,3
金牌,11
澳大利,7
澳大利亚,7
詹姆斯,5
中山,9
师范,6
师范大学,6
文学,18
主任,82
中文系,4
研究员,16
博士,23
博士生,13
导师,21
著有,12
财经,77
历史,14
哲学,3
评论家,9
小说,20
漫画,3
漫画家,3
画家,11
畅销书,6
猛龙,4
海王,3
头条,197
条文,195
总经理,161
经理,273
中文网,4
特约,4
撰稿,6
撰稿人,6
名作家,18
20,3
策划人,4
第三,5
中国作协,3
作协,8
大陆,3
悬疑,3
顾问,50
当代,9
学家,27
学者,26
百家,4
百家讲坛,4
讲坛,4
主讲,4
主讲人,4
出版,44
主编,38
大地,4
博物,7
博物馆,7
现任,6
书画,3
笔记,4
系统,4
著名作家,16
社长,22
设计,58
设计师,35
出版社,12
长篇,4
长篇小说,3
国画,4
河南大学,3
南大,7
学文,7
文学院,4
学博,10
研究会,11
副会长,13
会长,35
星球,3
第四,3
四届,3
学会,15
翻译,8
翻译家,3
推理,3
化学,3
大学教授,18
先锋,5
代表人,3
人物,9
湖南省,7
作家协会,7
家协会,23
心理,9
心理咨询,5
咨询师,7
总裁,146
代出,3
委会,11
北京大学,13
收藏,4
收藏家,3
藏家,3
小说家,4
名诗,3
陶瓷,5
集团公司,3
副总裁,64
上海市,4
海市,9
人大,25
人大代表,20
女性,3
党委,13
凤凰卫视,4
资讯,53
首席,62
时事,4
北师,4
北师大,3
师大,3
常务,18
常务副,11
学院院长,7
武侠,3
历史学,3
史学,6
史学家,3
社科,3
周刊,3
副主编,4
赛车,7
赛车手,6
南方,6
世纪,15
情感,15
旅行,11
行家,3
造型,10
造型师,6
美容,14
负责,10
负责人,10
责人,10
陕西省,4
党组,9
党组书记,4
书记,33
整合,5
医学,5
出品,5
出品人,5
围棋,11
世界冠军,32
九段,4
国手,7
女足,29
国家队,38
球员,135
英超,7
资深,48
CCTV5,8
游泳,21
游泳队,5
名将,16
斯诺,13
斯诺克,13
诺克,13
全球,15
体育频道,22
欧洲,6
世锦赛,11
守门,5
守门员,5
羽毛,13
羽毛球,13
国脚,25
星体,7
体坛,9
乒乓,16
乒乓球,15
乒乓球队,4
球队,26
英格兰,6
球星,42
子体,9
大赛,8
赛事,3
伦敦,18
奥运会,41
男单,8
俱乐部,75
传播,54
高级,46
2011,11
全能冠军,4
自由,14
自由式,5
滑雪,5
空中,5
中技,5
技巧,5
两届,7
冬奥,9
冬奥会,9
中国跳水队,3
跳水,16
跳水队,6
天津泰达,7
天津泰达队,3
泰达,7
泰达队,3
NBA,105
效力,19
CBA,20
斯特,4
重庆力帆,4
力帆,5
苏宁,5
职业,28
女单,3
高尔夫,21
国公,3
公开,4
公开赛,4
开赛,4
世界杯,3
勇士,3
勇士队,3
得分,4
后卫,20
绿城,5
绿城队,3
青少,3
青少年,3
10,3
纪录,9
保持者,6
国花,3
花样滑冰,12
滑冰,13
单人,3
单人滑,3
大满贯,8
满贯,8
北京国安,14
北京国安队,9
国安,14
国安队,9
足球运动,33
球运,49
中国女排,11
女排,17
2006,4
双人,5
烟台,4
日报,15
